[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
40 51 5 6 4 0 100 29.108 3.198
40 51 6 7 4 0 100 30.638 3.195
40 51 7 8 4 0 100 30.369 3.127
40 51 8 9 4 0 100 32.265 3.099
40 51 9 10 4 0 100 32.136 3.082
40 51 10 11 4 0 100 32.583 3.054
40 51 11 12 4 0 100 31.773 3.043
40 51 12 13 4 0 100 33.452 3.019
40 51 13 14 4 0 100 33.705 2.986
40 51 14 15 4 0 100 32.466 2.980
40 51 15 16 4 0 100 33.359 2.951
40 51 16 17 4 0 100 33.056 2.937
40 51 17 18 4 0 100 34.480 2.928
40 51 18 19 4 0 100 33.819 2.900
40 51 19 20 4 0 100 34.355 2.908
40 51 20 21 4 0 100 33.899 2.870
40 51 21 22 4 0 100 36.608 2.858
40 51 22 23 4 0 100 36.843 2.846
40 51 23 24 4 0 100 37.313 2.849
40 51 24 25 4 0 100 38.867 2.808
40 51 25 26 4 0 100 37.565 2.805
40 51 26 27 4 0 100 41.101 2.786
40 51 27 28 4 0 100 36.880 2.794
40 51 28 29 4 0 100 36.882 2.721
40 51 29 30 4 0 100 39.332 2.759
40 51 30 31 4 0 100 49.179 2.695
40 51 31 32 4 0 100 51.291 2.712
40 51 32 33 4 0 100 58.142 2.696
40 51 33 34 4 0 100 64.177 2.696
40 51 34 35 4 0 100 64.989 2.677
40 51 35 36 4 0 100 68.438 2.730
40 51 36 37 4 0 100 100.000 2.771
40 51 37 38 4 0 100 94.298 2.558
40 51 38 39 4 0 100 100.000 2.529
40 51 39 40 4 0 100 100.000 2.532
40 51 40 41 4 0 100 100.000 2.289
40 51 41 42 4 0 100 100.000 2.665
40 51 42 43 4 0 100 41.158 70.610
40 51 43 44 4 0 100 100.000 2.619
40 51 44 45 4 0 100 65.397 62.309
51 64 0 1 4 0 100 22.583 94.918
51 64 1 2 4 0 100 76.100 3.367
51 64 2 3 4 0 100 41.199 3.422
51 64 3 4 4 0 100 34.958 3.448
51 64 4 5 4 0 100 31.978 3.391
51 64 5 6 4 0 100 31.102 3.345
51 64 6 7 4 0 100 28.925 3.343
51 64 7 8 4 0 100 32.112 3.290
51 64 8 9 4 0 100 30.214 3.268
51 64 9 10 4 0 100 30.543 3.244
51 64 10 11 4 0 100 30.728 3.236
51 64 11 12 4 0 100 31.852 3.201
51 64 12 13 4 0 100 31.100 3.187
51 64 13 14 4 0 100 32.437 3.163
51 64 14 15 4 0 100 32.205 3.139
51 64 15 16 4 0 100 32.611 3.116
51 64 16 17 4 0 100 33.433 3.097
51 64 17 18 4 0 100 33.144 3.085
51 64 18 19 4 0 100 33.515 3.090
51 64 19 20 4 0 100 35.661 3.050
51 64 20 21 4 0 100 34.553 3.022
51 64 21 22 4 0 100 34.738 3.028
51 64 22 23 4 0 100 34.713 2.994
51 64 23 24 4 0 100 38.493 2.965
51 64 24 25 4 0 100 36.172 2.947
51 64 25 26 4 0 100 38.318 2.964
51 64 26 27 4 0 100 39.400 2.943
51 64 27 28 4 0 100 42.212 2.922
51 64 28 29 4 0 100 41.268 2.930
51 64 29 30 4 0 100 40.049 2.897
51 64 30 31 4 0 100 49.730 2.889
51 64 31 32 4 0 100 50.278 2.897
51 64 32 33 4 0 100 50.132 2.888
51 64 33 34 4 0 100 45.874 2.867
51 64 34 35 4 0 100 66.181 2.912
51 64 35 36 4 0 100 61.826 2.783
51 64 36 37 4 0 100 100.000 2.877
51 64 37 38 4 0 100 100.000 3.233
51 64 38 39 4 0 100 100.000 2.802
51 64 39 40 4 0 100 100.000 2.703
51 64 40 41 4 0 100 100.000 2.489
51 64 41 42 4 0 100 100.000 2.661
51 64 42 43 4 0 100 41.247 29.375
51 64 43 44 4 0 100 87.339 79.050
51 64 44 45 4 0 100 81.546 48.561
64 80 0 1 4 0 100 7.788 94.871
64 80 1 2 4 0 100 86.534 3.237
64 80 2 3 4 0 100 51.183 3.424
64 80 3 4 4 0 100 31.817 3.497
64 80 4 5 4 0 100 30.437 3.495
64 80 5 6 4 0 100 31.357 3.514
64 80 6 7 4 0 100 29.947 3.449
