[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
40 51 7 8 4 0 100 13.046 8.136
40 51 8 9 4 0 100 13.870 8.397
40 51 9 10 4 0 100 14.605 8.617
40 51 10 11 4 0 100 14.833 8.790
40 51 11 12 4 0 100 15.612 9.094
40 51 12 13 4 0 100 14.764 9.263
40 51 13 14 4 0 100 16.257 9.526
40 51 14 15 4 0 100 16.787 9.627
40 51 15 16 4 0 100 16.228 9.932
40 51 16 17 4 0 100 17.145 10.072
40 51 17 18 4 0 100 16.525 10.322
40 51 18 19 4 0 100 17.075 10.570
40 51 19 20 4 0 100 18.215 10.847
40 51 20 21 4 0 100 19.305 10.943
40 51 21 22 4 0 100 20.252 11.144
40 51 22 23 4 0 100 21.004 11.370
40 51 23 24 4 0 100 21.034 11.644
40 51 24 25 4 0 100 22.355 11.947
40 51 25 26 4 0 100 23.765 11.850
40 51 26 27 4 0 100 21.739 12.079
40 51 27 28 4 0 100 31.621 12.756
40 51 28 29 4 0 100 24.925 12.626
40 51 29 30 4 0 100 26.033 12.726
40 51 30 31 4 0 100 34.131 13.059
40 51 31 32 4 0 100 31.425 12.527
40 51 32 33 4 0 100 37.006 13.430
40 51 33 34 4 0 100 45.299 13.745
40 51 34 35 4 0 100 50.000 12.170
40 51 35 36 4 0 100 50.000 12.817
40 51 36 37 4 0 100 50.000 13.232
40 51 37 38 4 0 100 50.000 12.989
40 51 38 39 4 0 100 50.000 13.639
40 51 39 40 4 0 100 1.278 100.000
40 51 40 41 4 0 100 50.000 14.859
40 51 41 42 4 0 100 1.382 100.000
40 51 42 43 4 0 100 50.000 12.662
40 51 43 44 4 0 100 50.000 15.045
40 51 44 45 4 0 100 1.529 100.000
51 64 0 1 4 0 100 50.000 5.466
51 64 1 2 4 0 100 30.114 7.639
51 64 2 3 4 0 100 24.298 7.633
51 64 3 4 4 0 100 12.099 7.909
51 64 4 5 4 0 100 14.886 7.990
51 64 5 6 4 0 100 14.179 8.236
51 64 6 7 4 0 100 14.264 8.509
51 64 7 8 4 0 100 13.496 8.852
51 64 8 9 4 0 100 13.896 8.890
51 64 9 10 4 0 100 15.148 9.274
51 64 10 11 4 0 100 16.430 9.453
51 64 11 12 4 0 100 14.741 9.621
51 64 12 13 4 0 100 15.864 9.832
51 64 13 14 4 0 100 14.966 10.011
51 64 14 15 4 0 100 17.341 10.279
51 64 15 16 4 0 100 17.200 10.379
51 64 16 17 4 0 100 17.360 10.622
51 64 17 18 4 0 100 17.635 10.811
51 64 18 19 4 0 100 18.002 10.946
51 64 19 20 4 0 100 17.727 11.267
51 64 20 21 4 0 100 21.064 11.343
51 64 21 22 4 0 100 19.117 11.617
51 64 22 23 4 0 100 22.841 11.607
51 64 23 24 4 0 100 23.645 12.298
51 64 24 25 4 0 100 22.982 12.430
51 64 25 26 4 0 100 24.842 12.203
51 64 26 27 4 0 100 26.283 12.344
51 64 27 28 4 0 100 25.955 12.982
51 64 28 29 4 0 100 33.918 13.172
51 64 29 30 4 0 100 33.227 13.390
51 64 30 31 4 0 100 42.594 12.658
51 64 31 32 4 0 100 45.014 13.319
51 64 32 33 4 0 100 49.104 14.066
51 64 33 34 4 0 100 50.000 14.278
51 64 34 35 4 0 100 50.000 14.222
51 64 35 36 4 0 100 50.000 15.050
51 64 36 37 4 0 100 50.000 14.476
51 64 37 38 4 0 100 50.000 15.083
51 64 38 39 4 0 100 50.000 15.870
51 64 39 40 4 0 100 50.000 14.462
51 64 40 41 4 0 100 1.466 100.000
51 64 41 42 4 0 100 1.623 100.000
51 64 42 43 4 0 100 1.597 100.000
51 64 43 44 4 0 100 1.469 100.000
51 64 44 45 4 0 100 1.423 100.000
64 80 0 1 4 0 100 50.000 7.125
64 80 1 2 4 0 100 50.000 7.748
64 80 2 3 4 0 100 18.767 7.888
64 80 3 4 4 0 100 15.432 7.932
64 80 4 5 4 0 100 14.849 8.764
64 80 5 6 4 0 100 13.045 8.713
64 80 6 7 4 0 100 14.218 8.942
64 80 7 8 4 0 100 15.503 9.221
64 80 8 9 4 0 100 14.049 9.349
64 80 9 10 4 0 100 14.886 9.491
64 80 10 11 4 0 100 14.918 9.856
64 80 11 12 4 0 100 15.151 9.987
64 80 12 13 4 0 100 16.603 10.171
64 80 13 14 4 0 100 17.728 10.737
64 80 14 15 4 0 100 16.570 10.621
64 80 15 16 4 0 100 16.942 11.010
64 80 16 17 4 0 100 18.539 11.178
64 80 17 18 4 0 100 17.750 11.402
64 80 18 19 4 0 100 18.341 11.481
64 80 19 20 4 0 100 18.812 11.747
64 80 20 21 4 0 100 21.380 11.883
64 80 21 22 4 0 100 20.215 12.080
64 80 22 23 4 0 100 21.837 12.731
64 80 23 24 4 0 100 24.936 12.600
64 80 24 25 4 0 100 29.128 12.913
64 80 25 26 4 0 100 26.504 12.954
64 80 26 27 4 0 100 25.986 12.869
64 80 27 28 4 0 100 35.005 12.930
64 80 28 29 4 0 100 38.086 12.973
64 80 29 30 4 0 100 34.805 13.281
64 80 30 31 4 0 100 49.535 13.342
64 80 31 32 4 0 100 50.000 15.388
64 80 32 33 4 0 100 44.597 13.713
64 80 33 34 4 0 100 50.000 14.157
64 80 34 35 4 0 100 50.000 15.438
64 80 35 36 4 0 100 48.955 13.499
64 80 36 37 4 0 100 50.000 13.646
64 80 37 38 4 0 100 50.000 16.874
64 80 38 39 4 0 100 1.364 100.000
64 80 39 40 4 0 100 50.000 14.017
64 80 40 41 4 0 100 1.487 100.000
64 80 41 42 4 0 100 1.584 100.000
64 80 42 43 4 0 100 1.530 100.000
64 80 43 44 4 0 100 1.591 100.000
64 80 44 45 4 0 100 50.000 18.296
80 101 0 1 4 0 100 1.692 100.000
80 101 1 2 4 0 100 1.280 100.000
80 101 2 3 4 0 100 22.489 7.911
80 101 3 4 4 0 100 22.463 8.116
80 101 4 5 4 0 100 18.800 8.976
80 101 5 6 4 0 100 18.654 8.964
80 101 6 7 4 0 100 16.145 9.354
80 101 7 8 4 0 100 14.967 9.488
80 101 8 9 4 0 100 16.867 9.568
80 101 9 10 4 0 100 15.834 10.010
80 101 10 11 4 0 100 17.350 10.097
80 101 11 12 4 0 100 18.071 10.401
80 101 12 13 4 0 100 16.992 10.668
80 101 13 14 4 0 100 17.469 10.921
80 101 14 15 4 0 100 18.834 11.056
80 101 15 16 4 0 100 17.357 11.200
80 101 16 17 4 0 100 19.866 11.635
80 101 17 18 4 0 100 19.896 11.742
80 101 18 19 4 0 100 19.161 12.008
80 101 19 20 4 0 100 24.529 11.910
80 101 20 21 4 0 100 20.980 12.337
80 101 21 22 4 0 100 26.354 12.446
80 101 22 23 4 0 100 27.292 12.756
80 101 23 24 4 0 100 28.712 13.368
80 101 24 25 4 0 100 31.643 13.010
80 101 25 26 4 0 100 35.514 13.038
80 101 26 27 4 0 100 28.178 13.428
80 101 27 28 4 0 100 39.347 13.068
80 101 28 29 4 0 100 36.332 12.793
80 101 29 30 4 0 100 50.000 14.254
80 101 30 31 4 0 100 50.000 13.470
80 101 31 32 4 0 100 50.000 12.384
80 101 32 33 4 0 100 50.000 13.732
80 101 33 34 4 0 100 50.000 13.626
80 101 34 35 4 0 100 50.000 12.413
80 101 35 36 4 0 100 50.000 14.955
80 101 36 37 4 0 100 50.000 14.522
80 101 37 38 4 0 100 1.476 100.000
80 101 38 39 4 0 100 1.569 100.000
80 101 39 40 4 0 100 1.519 100.000
80 101 40 41 4 0 100 1.486 100.000
80 101 41 42 4 0 100 1.579 100.000
80 101 42 43 4 0 100 1.578 100.000
80 101 43 44 4 0 100 1.579 100.000
101 127 1 2 4 0 100 1.335 100.000
101 127 2 3 4 0 100 42.487 8.062
101 127 3 4 4 0 100 23.681 9.036
101 127 4 5 4 0 100 25.364 9.498
101 127 5 6 4 0 100 24.361 8.996
101 127 6 7 4 0 100 18.211 9.881
101 127 7 8 4 0 100 22.111 10.479
101 127 8 9 4 0 100 17.609 10.146
101 127 9 10 4 0 100 19.296 10.321
101 127 10 11 4 0 100 19.854 10.692
101 127 11 12 4 0 100 18.616 10.730
101 127 12 13 4 0 100 17.209 10.705
101 127 13 14 4 0 100 19.055 11.141
101 127 14 15 4 0 100 20.978 11.210
101 127 15 16 4 0 100 21.877 11.535
101 127 16 17 4 0 100 26.891 11.568
101 127 17 18 4 0 100 25.939 12.361
101 127 18 19 4 0 100 25.092 12.215
101 127 19 20 4 0 100 34.259 12.744
101 127 20 21 4 0 100 27.689 12.471
101 127 21 22 4 0 100 35.618 12.203
101 127 22 23 4 0 100 33.267 12.170
101 127 23 24 4 0 100 36.161 13.159
101 127 24 25 4 0 100 43.221 13.357
101 127 25 26 4 0 100 21.004 13.223
101 127 26 27 4 0 100 50.000 13.110
101 127 27 28 4 0 100 50.000 13.609
101 127 28 29 4 0 100 50.000 13.519
101 127 29 30 4 0 100 50.000 13.508
101 127 30 31 4 0 100 50.000 12.552
101 127 31 32 4 0 100 50.000 14.656
101 127 32 33 4 0 100 1.327 100.000
101 127 33 34 4 0 100 50.000 14.010
101 127 34 35 4 0 100 1.478 100.000
101 127 35 36 4 0 100 1.416 100.000
101 127 36 37 4 0 100 1.523 100.000
101 127 37 38 4 0 100 1.508 100.000
101 127 38 39 4 0 100 1.461 100.000
101 127 39 40 4 0 100 50.000 14.167
101 127 40 41 4 0 100 1.692 100.000
101 127 41 42 4 0 100 1.692 100.000
101 127 42 43 4 0 100 1.692 100.000
101 127 43 44 4 0 100 1.659 100.000
101 127 44 45 4 0 100 1.694 100.000
127 159 1 2 4 0 100 1.622 100.000
127 159 2 3 4 0 100 1.288 100.000
127 159 3 4 4 0 100 50.000 9.231
127 159 4 5 4 0 100 50.000 9.286
127 159 5 6 4 0 100 23.268 9.468
127 159 6 7 4 0 100 36.090 10.093
127 159 7 8 4 0 100 28.378 9.852
127 159 8 9 4 0 100 25.306 9.677
127 159 9 10 4 0 100 24.778 10.870
127 159 10 11 4 0 100 25.709 11.038
127 159 11 12 4 0 100 18.708 11.194
127 159 12 13 4 0 100 23.436 11.003
127 159 13 14 4 0 100 22.104 10.990
127 159 14 15 4 0 100 35.460 11.724
127 159 15 16 4 0 100 31.872 12.080
127 159 16 17 4 0 100 29.757 12.259
127 159 17 18 4 0 100 50.000 11.574
127 159 18 19 4 0 100 33.866 12.318
127 159 19 20 4 0 100 23.613 11.690
127 159 20 21 4 0 100 38.814 12.550
127 159 21 22 4 0 100 45.199 12.652
127 159 22 23 4 0 100 50.000 13.814
127 159 23 24 4 0 100 50.000 13.750
127 159 24 25 4 0 100 50.000 13.981
127 159 25 26 4 0 100 50.000 13.243
127 159 26 27 4 0 100 50.000 11.999
127 159 27 28 4 0 100 50.000 13.453
127 159 28 29 4 0 100 50.000 14.032
127 159 29 30 4 0 100 50.000 14.789
127 159 30 31 4 0 100 50.000 14.485
127 159 31 32 4 0 100 1.442 100.000
127 159 32 33 4 0 100 1.280 100.000
127 159 33 34 4 0 100 1.560 100.000
127 159 34 35 4 0 100 1.632 100.000
127 159 35 36 4 0 100 1.565 100.000
127 159 37 38 4 0 100 1.573 100.000
127 159 38 39 4 0 100 1.689 100.000
127 159 39 40 4 0 100 1.643 100.000
127 159 43 44 4 0 100 1.687 100.000
127 159 44 45 4 0 100 1.687 100.000
159 201 1 2 4 0 100 1.626 100.000
159 201 2 3 4 0 100 50.000 9.445
159 201 3 4 4 0 100 1.487 100.000
159 201 4 5 4 0 100 1.249 100.000
159 201 5 6 4 0 100 1.343 100.000
159 201 6 7 4 0 100 48.256 10.752
159 201 7 8 4 0 100 50.000 11.328
159 201 8 9 4 0 100 35.821 10.484
159 201 9 10 4 0 100 32.539 11.698
159 201 10 11 4 0 100 21.903 9.418
159 201 11 12 4 0 100 35.273 10.010
159 201 12 13 4 0 100 50.000 10.042
159 201 13 14 4 0 100 50.000 11.703
159 201 14 15 4 0 100 50.000 11.908
159 201 15 16 4 0 100 50.000 12.906
159 201 16 17 4 0 100 50.000 12.140
159 201 17 18 4 0 100 50.000 9.676
159 201 18 19 4 0 100 43.724 11.057
159 201 19 20 4 0 100 50.000 10.935
159 201 20 21 4 0 100 50.000 13.864
159 201 21 22 4 0 100 50.000 12.814
159 201 22 23 4 0 100 50.000 13.607
159 201 23 24 4 0 100 50.000 13.032
159 201 24 25 4 0 100 1.426 100.000
159 201 25 26 4 0 100 1.449 100.000
159 201 26 27 4 0 100 50.000 13.748
159 201 27 28 4 0 100 1.456 100.000
159 201 28 29 4 0 100 1.467 100.000
159 201 29 30 4 0 100 1.571 100.000
159 201 30 31 4 0 100 1.567 100.000
159 201 31 32 4 0 100 1.564 100.000
159 201 32 33 4 0 100 1.407 100.000
159 201 33 34 4 0 100 1.645 100.000
159 201 34 35 4 0 100 1.689 100.000
159 201 35 36 4 0 100 1.689 100.000
201 252 4 5 4 0 100 50.000 6.085
201 252 5 6 4 0 100 1.690 100.000
201 252 6 7 4 0 100 1.556 100.000
201 252 7 8 4 0 100 50.000 6.510
201 252 8 9 4 0 100 1.484 100.000
201 252 9 10 4 0 100 50.000 11.516
201 252 10 11 4 0 100 1.558 100.000
201 252 11 12 4 0 100 1.560 100.000
201 252 12 13 4 0 100 50.000 10.483
201 252 13 14 4 0 100 1.496 100.000
201 252 14 15 4 0 100 1.504 100.000
201 252 15 16 4 0 100 50.000 9.445
201 252 16 17 4 0 100 1.625 100.000
201 252 17 18 4 0 100 1.458 100.000
201 252 18 19 4 0 100 1.565 100.000
201 252 19 20 4 0 100 1.569 100.000
201 252 20 21 4 0 100 1.420 100.000
201 252 21 22 4 0 100 1.696 100.000
201 252 22 23 4 0 100 1.568 100.000
201 252 23 24 4 0 100 1.563 100.000
201 252 24 25 4 0 100 1.536 100.000
201 252 25 26 4 0 100 1.690 100.000
201 252 26 27 4 0 100 1.634 100.000
201 252 27 28 4 0 100 1.565 100.000
201 252 28 29 4 0 100 1.687 100.000
201 252 29 30 4 0 100 1.689 100.000
201 252 34 35 4 0 100 1.687 100.000
252 317 3 4 4 0 100 1.623 100.000
252 317 7 8 4 0 100 1.687 100.000
252 317 9 10 4 0 100 50.000 6.085
252 317 10 11 4 0 100 1.687 100.000
252 317 12 13 4 0 100 1.689 100.000
252 317 17 18 4 0 100 1.688 100.000
252 317 22 23 4 0 100 1.703 100.000
