[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
40 51 5 6 4 0 100 9.336 6.312
40 51 6 7 4 0 100 9.687 6.471
40 51 7 8 4 0 100 10.415 6.756
40 51 8 9 4 0 100 10.315 6.930
40 51 9 10 4 0 100 10.270 7.114
40 51 10 11 4 0 100 10.815 7.346
40 51 11 12 4 0 100 10.547 7.528
40 51 12 13 4 0 100 11.005 7.654
40 51 13 14 4 0 100 11.373 7.928
40 51 14 15 4 0 100 10.988 8.116
40 51 15 16 4 0 100 11.035 8.278
40 51 16 17 4 0 100 11.383 8.501
40 51 17 18 4 0 100 12.240 8.653
40 51 18 19 4 0 100 12.384 8.999
40 51 19 20 4 0 100 12.575 9.129
40 51 20 21 4 0 100 12.971 9.339
40 51 21 22 4 0 100 14.067 9.568
40 51 22 23 4 0 100 13.050 9.708
40 51 23 24 4 0 100 14.102 10.014
40 51 24 25 4 0 100 16.005 10.292
40 51 25 26 4 0 100 14.414 10.330
40 51 26 27 4 0 100 15.936 10.518
40 51 27 28 4 0 100 18.251 10.765
40 51 28 29 4 0 100 15.686 11.084
40 51 29 30 4 0 100 15.295 10.955
40 51 30 31 4 0 100 19.885 11.065
40 51 31 32 4 0 100 21.349 11.217
40 51 32 33 4 0 100 21.427 11.689
40 51 33 34 4 0 100 22.053 11.782
40 51 34 35 4 0 100 43.676 12.079
40 51 35 36 4 0 100 30.749 12.500
40 51 36 37 4 0 100 50.000 11.720
40 51 37 38 4 0 100 31.258 11.761
40 51 38 39 4 0 100 50.000 13.587
40 51 39 40 4 0 100 45.721 13.050
40 51 40 41 4 0 100 50.000 13.984
40 51 41 42 4 0 100 50.000 13.601
40 51 42 43 4 0 100 50.000 12.789
40 51 43 44 4 0 100 50.000 13.200
40 51 44 45 4 0 100 50.000 12.641
51 64 0 1 4 0 100 50.000 5.780
51 64 1 2 4 0 100 14.831 5.053
51 64 2 3 4 0 100 9.492 6.255
51 64 3 4 4 0 100 10.287 6.232
51 64 4 5 4 0 100 9.497 6.556
51 64 5 6 4 0 100 10.581 6.717
51 64 6 7 4 0 100 9.678 6.927
51 64 7 8 4 0 100 9.867 7.170
51 64 8 9 4 0 100 10.122 7.320
51 64 9 10 4 0 100 10.780 7.487
51 64 10 11 4 0 100 10.827 7.673
51 64 11 12 4 0 100 10.971 7.931
51 64 12 13 4 0 100 10.958 8.099
51 64 13 14 4 0 100 11.438 8.270
51 64 14 15 4 0 100 11.566 8.511
51 64 15 16 4 0 100 12.046 8.767
51 64 16 17 4 0 100 12.136 8.970
51 64 17 18 4 0 100 12.665 9.217
51 64 18 19 4 0 100 12.212 9.216
51 64 19 20 4 0 100 12.983 9.594
51 64 20 21 4 0 100 13.294 9.869
51 64 21 22 4 0 100 13.617 10.077
51 64 22 23 4 0 100 14.713 10.272
51 64 23 24 4 0 100 14.918 10.491
51 64 24 25 4 0 100 15.174 10.838
51 64 25 26 4 0 100 15.665 10.718
51 64 26 27 4 0 100 16.670 11.055
51 64 27 28 4 0 100 20.463 11.197
51 64 28 29 4 0 100 18.456 11.291
51 64 29 30 4 0 100 15.518 11.647
51 64 30 31 4 0 100 20.693 11.928
51 64 31 32 4 0 100 15.544 11.688
51 64 32 33 4 0 100 27.273 11.286
51 64 33 34 4 0 100 27.264 12.246
51 64 34 35 4 0 100 36.168 12.235
51 64 35 36 4 0 100 41.002 13.110
51 64 36 37 4 0 100 33.074 12.410
51 64 37 38 4 0 100 42.805 12.184
51 64 38 39 4 0 100 50.000 12.302
51 64 39 40 4 0 100 49.708 12.735
51 64 40 41 4 0 100 50.000 14.411
51 64 41 42 4 0 100 50.000 15.279
51 64 42 43 4 0 100 1.443 100.000
51 64 43 44 4 0 100 1.336 100.000
51 64 44 45 4 0 100 1.420 100.000
64 80 0 1 4 0 100 39.661 6.021
64 80 1 2 4 0 100 11.952 6.198
64 80 2 3 4 0 100 10.175 6.519
64 80 3 4 4 0 100 12.238 6.718
64 80 4 5 4 0 100 10.650 6.964
64 80 5 6 4 0 100 10.535 7.114
64 80 6 7 4 0 100 10.256 7.267
64 80 7 8 4 0 100 10.186 7.446
64 80 8 9 4 0 100 10.869 7.703
64 80 9 10 4 0 100 10.226 7.852
64 80 10 11 4 0 100 11.158 8.232
64 80 11 12 4 0 100 10.911 8.315
64 80 12 13 4 0 100 11.352 8.487
64 80 13 14 4 0 100 11.852 8.823
64 80 14 15 4 0 100 12.651 8.943
64 80 15 16 4 0 100 12.154 9.105
64 80 16 17 4 0 100 13.034 9.362
64 80 17 18 4 0 100 12.968 9.529
64 80 18 19 4 0 100 13.537 9.664
64 80 19 20 4 0 100 14.586 9.969
64 80 20 21 4 0 100 14.037 10.155
64 80 21 22 4 0 100 14.649 10.429
64 80 22 23 4 0 100 15.357 10.653
64 80 23 24 4 0 100 16.183 10.742
64 80 24 25 4 0 100 15.389 10.930
64 80 25 26 4 0 100 16.907 11.089
64 80 26 27 4 0 100 17.142 11.384
64 80 27 28 4 0 100 17.655 11.794
64 80 28 29 4 0 100 22.074 11.936
64 80 29 30 4 0 100 19.879 11.960
64 80 30 31 4 0 100 22.368 12.149
64 80 31 32 4 0 100 24.105 12.050
64 80 32 33 4 0 100 22.205 12.580
64 80 33 34 4 0 100 29.162 12.684
64 80 34 35 4 0 100 35.194 12.264
64 80 35 36 4 0 100 30.559 12.728
64 80 36 37 4 0 100 50.000 12.179
64 80 37 38 4 0 100 50.000 13.534
64 80 38 39 4 0 100 37.377 13.395
64 80 39 40 4 0 100 41.845 12.814
64 80 40 41 4 0 100 50.000 11.782
64 80 41 42 4 0 100 50.000 14.850
64 80 42 43 4 0 100 50.000 12.409
64 80 43 44 4 0 100 50.000 13.628
64 80 44 45 4 0 100 50.000 13.051
80 101 0 1 4 0 100 50.000 5.465
80 101 1 2 4 0 100 27.272 5.795
80 101 2 3 4 0 100 12.142 7.027
80 101 3 4 4 0 100 10.803 7.024
80 101 4 5 4 0 100 9.796 7.111
80 101 5 6 4 0 100 10.240 7.340
80 101 6 7 4 0 100 10.087 7.701
80 101 7 8 4 0 100 10.492 7.802
80 101 8 9 4 0 100 10.698 8.034
80 101 9 10 4 0 100 10.991 8.274
80 101 10 11 4 0 100 11.556 8.521
80 101 11 12 4 0 100 11.934 8.614
80 101 12 13 4 0 100 11.652 8.856
80 101 13 14 4 0 100 12.465 9.091
80 101 14 15 4 0 100 12.643 9.310
80 101 15 16 4 0 100 13.168 9.581
80 101 16 17 4 0 100 13.324 9.809
80 101 17 18 4 0 100 13.487 9.937
80 101 18 19 4 0 100 14.128 10.222
80 101 19 20 4 0 100 14.118 10.251
80 101 20 21 4 0 100 15.016 10.604
80 101 21 22 4 0 100 14.153 10.865
80 101 22 23 4 0 100 15.558 10.940
80 101 23 24 4 0 100 15.443 11.260
80 101 24 25 4 0 100 16.157 11.477
80 101 25 26 4 0 100 16.245 11.625
80 101 26 27 4 0 100 21.986 11.583
80 101 27 28 4 0 100 20.502 11.882
80 101 28 29 4 0 100 22.198 12.245
80 101 29 30 4 0 100 23.715 12.266
80 101 30 31 4 0 100 24.129 12.564
80 101 31 32 4 0 100 25.967 12.417
80 101 32 33 4 0 100 25.801 12.809
80 101 33 34 4 0 100 37.497 12.952
80 101 34 35 4 0 100 40.560 12.461
80 101 35 36 4 0 100 50.000 12.892
80 101 36 37 4 0 100 41.827 12.507
80 101 37 38 4 0 100 50.000 14.240
80 101 38 39 4 0 100 50.000 13.205
80 101 39 40 4 0 100 50.000 13.133
80 101 40 41 4 0 100 50.000 12.156
80 101 41 42 4 0 100 1.318 100.000
80 101 42 43 4 0 100 1.425 100.000
80 101 43 44 4 0 100 50.000 13.420
101 127 1 2 4 0 100 38.782 6.207
101 127 2 3 4 0 100 11.750 7.406
101 127 3 4 4 0 100 9.808 7.277
101 127 4 5 4 0 100 11.062 7.645
101 127 5 6 4 0 100 11.914 7.689
101 127 6 7 4 0 100 11.137 8.037
101 127 7 8 4 0 100 11.251 8.110
101 127 8 9 4 0 100 10.899 8.404
101 127 9 10 4 0 100 11.862 8.643
101 127 10 11 4 0 100 11.713 8.800
101 127 11 12 4 0 100 12.245 9.019
101 127 12 13 4 0 100 13.064 9.215
101 127 13 14 4 0 100 12.945 9.479
101 127 14 15 4 0 100 14.230 9.714
101 127 15 16 4 0 100 13.515 9.839
101 127 16 17 4 0 100 14.132 10.073
101 127 17 18 4 0 100 14.845 10.226
101 127 18 19 4 0 100 15.777 10.629
